vict_descent,area,crm_cd,premis_cd,weapon_used_cd,age_group,time_group
2,3,624,501.0,400.0,3.0,4.0
1,1,624,102.0,500.0,2.0,2.0
1,1,121,0.0,500.0,2.0,2.0
1,1,0,101.0,306.0,2.0,4.0
1,1,930,108.0,511.0,3.0,4.0
1,1,0,0.0,500.0,1.0,3.0
1,19,626,501.0,400.0,2.0,1.0
1,11,626,501.0,400.0,3.0,4.0
1,5,0,102.0,400.0,2.0,4.0
2,1,210,103.0,0.0,5.0,3.0
1,1,230,502.0,500.0,5.0,4.0
1,1,230,0.0,500.0,5.0,4.0
1,8,624,501.0,400.0,5.0,4.0
2,1,121,503.0,400.0,1.0,3.0
1,11,626,502.0,400.0,3.0,4.0
2,1,930,0.0,500.0,5.0,3.0
1,9,624,102.0,400.0,5.0,3.0
1,8,624,0.0,400.0,5.0,2.0
1,1,230,0.0,0.0,5.0,4.0
1,1,230,203.0,212.0,3.0,4.0
1,2,761,108.0,109.0,3.0,4.0
2,12,236,502.0,0.0,5.0,2.0
1,4,626,501.0,400.0,2.0,4.0
2,1,0,102.0,400.0,4.0,1.0
1,1,930,108.0,400.0,5.0,2.0
1,1,626,101.0,400.0,2.0,4.0
1,8,624,0.0,400.0,2.0,4.0
2,1,860,0.0,400.0,1.0,1.0
2,1,230,102.0,500.0,5.0,3.0
1,3,236,501.0,400.0,5.0,2.0
1,1,0,0.0,400.0,1.0,4.0
1,1,0,0.0,400.0,1.0,4.0
2,1,624,502.0,400.0,2.0,4.0
2,1,230,101.0,0.0,4.0,4.0
1,1,624,102.0,400.0,4.0,4.0
1,1,624,101.0,400.0,5.0,4.0
1,1,310,210.0,500.0,1.0,2.0
1,1,210,0.0,0.0,1.0,2.0
1,1,624,101.0,400.0,5.0,3.0
1,1,210,502.0,102.0,5.0,3.0
2,1,626,502.0,400.0,3.0,2.0
2,1,624,203.0,400.0,3.0,3.0
1,1,230,101.0,0.0,5.0,2.0
1,1,860,101.0,400.0,2.0,1.0
2,1,230,101.0,307.0,5.0,4.0
2,18,626,0.0,400.0,5.0,3.0
1,1,230,203.0,0.0,4.0,3.0
2,1,626,0.0,400.0,3.0,4.0
1,1,624,203.0,400.0,4.0,4.0
2,1,624,102.0,308.0,5.0,4.0
1,13,121,501.0,400.0,1.0,2.0
1,1,624,102.0,400.0,2.0,4.0
2,1,761,502.0,0.0,5.0,3.0
1,1,210,101.0,102.0,2.0,4.0
1,1,230,101.0,0.0,5.0,4.0
1,4,210,501.0,400.0,2.0,4.0
1,7,624,502.0,400.0,2.0,4.0
2,1,624,102.0,500.0,4.0,3.0
2,3,210,101.0,102.0,2.0,2.0
1,1,624,101.0,400.0,4.0,3.0
1,1,624,102.0,500.0,5.0,1.0
1,18,0,501.0,0.0,2.0,2.0
1,4,230,102.0,102.0,2.0,3.0
1,1,624,203.0,400.0,2.0,4.0
1,1,624,0.0,400.0,2.0,4.0
1,1,210,102.0,400.0,5.0,4.0
1,8,626,101.0,400.0,3.0,4.0
1,1,624,102.0,400.0,2.0,2.0
1,1,930,502.0,511.0,3.0,1.0
1,1,0,0.0,400.0,1.0,4.0
1,1,626,502.0,400.0,2.0,2.0
1,1,210,0.0,400.0,1.0,4.0
1,1,0,102.0,400.0,3.0,4.0
2,1,624,0.0,400.0,4.0,4.0
1,4,0,501.0,500.0,1.0,4.0
1,1,0,101.0,306.0,4.0,4.0
1,1,230,102.0,500.0,5.0,1.0
1,1,230,101.0,207.0,2.0,4.0
2,1,624,101.0,400.0,5.0,4.0
1,1,624,0.0,400.0,5.0,3.0
1,1,624,102.0,400.0,5.0,3.0
1,9,0,501.0,400.0,1.0,2.0
2,1,624,0.0,400.0,1.0,4.0
1,1,930,0.0,511.0,2.0,4.0
1,1,236,502.0,400.0,2.0,4.0
2,12,624,101.0,400.0,4.0,4.0
1,18,0,502.0,400.0,1.0,4.0
2,1,624,102.0,500.0,5.0,1.0
1,1,740,101.0,500.0,1.0,4.0
1,1,624,108.0,400.0,2.0,4.0
1,8,236,501.0,400.0,4.0,2.0
2,1,860,101.0,400.0,4.0,2.0
1,4,0,501.0,511.0,1.0,3.0
2,1,930,102.0,511.0,2.0,3.0
1,1,624,101.0,400.0,2.0,2.0
1,1,220,102.0,212.0,5.0,4.0
2,1,625,203.0,500.0,4.0,4.0
1,1,0,0.0,400.0,2.0,2.0
